Name,Active__c,Description__c,Object_Name__c,Parameters__c,Query_Key__c,Query_Source__c,Query_Text__c,Query_Type__c,Status__c,Allowed_Permission_Sets__c
QS-0019,true,IN filter - Opportunities matching any stage in the provided list.,Opportunity,"[{""name"":""stageList"",""type"":""List<String>"",""required"":true}]",Get Opportunities By Stage List,Inline,"SELECT Id, Name, StageName, Amount, CloseDate, Account.Name FROM Opportunity WHERE StageName IN :stageList ORDER BY Amount DESC",SOQL,Active,
QS-0020,true,Date range filter using two bind variables for start and end date.,Opportunity,"[{""name"":""startDate"",""type"":""Date"",""required"":true},{""name"":""endDate"",""type"":""Date"",""required"":true}]",Get Opportunities Closing In Date Range,Inline,"SELECT Id, Name, StageName, Amount, CloseDate, Account.Name FROM Opportunity WHERE CloseDate >= :startDate AND CloseDate <= :endDate ORDER BY CloseDate ASC",SOQL,Active,
QS-0021,true,Pagination using LIMIT and OFFSET bind variables.,Account,"[{""name"":""pageSize"",""type"":""Integer"",""required"":true,""default"":10},{""name"":""offsetSize"",""type"":""Integer"",""required"":true,""default"":0}]",Get Paginated Accounts,Inline,"SELECT Id, Name, Industry, Type, Phone FROM Account ORDER BY Name ASC LIMIT :pageSize OFFSET :offsetSize",SOQL,Active,
QS-0022,true,Returns Leads modified in the last 7 days.,Lead,,Get Recently Modified Leads,Inline,"SELECT Id, Name, Company, Status, LeadSource FROM Lead WHERE LastModifiedDate = LAST_N_DAYS:7 ORDER BY LastModifiedDate DESC",SOQL,Active,
QS-0023,true,COUNT of Leads grouped by LeadSource and Status with HAVING clause.,Lead,,Lead Count By Source And Status,Inline,"SELECT LeadSource, Status, COUNT(Id) leadCount FROM Lead GROUP BY LeadSource, Status HAVING COUNT(Id) > 0 ORDER BY COUNT(Id) DESC",SOQL,Active,
QS-0024,true,Monthly revenue rollup for Closed Won Opportunities this year using date functions.,Opportunity,,Monthly Closed Won Revenue This Year,Inline,"SELECT CALENDAR_MONTH(CloseDate) closeMonth, CALENDAR_YEAR(CloseDate) closeYear, SUM(Amount) totalRevenue, COUNT(Id) dealCount FROM Opportunity WHERE StageName = 'Closed Won' AND CloseDate = THIS_YEAR GROUP BY CALENDAR_MONTH(CloseDate), CALENDAR_YEAR(CloseDate) ORDER BY CALENDAR_YEAR(CloseDate), CALENDAR_MONTH(CloseDate)",SOQL,Active,
QS-0025,true,Multi-level child-to-parent: Opportunity traversing Account and Owner.,Opportunity,,Opportunities With Account And Owner,Inline,"SELECT Id, Name, StageName, Amount, Account.Name, Account.BillingCity, Owner.Name, Owner.Email FROM Opportunity WHERE IsClosed = false",SOQL,Active,
QS-0026,true,"LIKE text search on Contact Name. Pass searchTerm as ""%john%"" for partial match.",Contact,"[{""name"":""searchTerm"",""type"":""String"",""required"":true,""example"":""%john%""}]",Search Contacts By Name,Inline,"SELECT Id, FirstName, LastName, Email, Phone, Account.Name FROM Contact WHERE Name LIKE :searchTerm ORDER BY LastName",SOQL,Active,
QS-0027,true,Polymorphic TYPEOF: returns different fields on Task.What depending on whether it is an Account or Opportunity.,Task,,Tasks With Polymorphic What (TYPEOF),Inline,"SELECT Id, Subject, Status, ActivityDate, TYPEOF What WHEN Account THEN Name, Industry WHEN Opportunity THEN Name, StageName, Amount ELSE Id END FROM Task WHERE IsClosed = false",SOQL,Active,
QS-0028,true,SUM and COUNT of Opportunities grouped by StageName.,Opportunity,,Total Opportunity Amount By Stage,Inline,"SELECT StageName, SUM(Amount) totalAmount, COUNT(Id) dealCount FROM Opportunity WHERE Amount != null GROUP BY StageName ORDER BY SUM(Amount) DESC",SOQL,Active,
